taxon_id	species_name	rank	total_reads	hits_vs_cjejuni	hit_rate_%	avg_pident_%	max_pident_%	avg_query_coverage_%	avg_bitscore	min_evalue
207340	Roseomonas mucosa	S	4	0	0.0	0.0	0.0	0.0	0.0	N/A
1892855	Sphingosinicella sp. BN140058	S	2	0	0.0	0.0	0.0	0.0	0.0	N/A
858619	Corynebacterium variabile DSM 44702	S1	8	0	0.0	0.0	0.0	0.0	0.0	N/A
78331	Mycobacterium canetti	S	2	0	0.0	0.0	0.0	0.0	0.0	N/A
507	Alcaligenes	G	1	0	0.0	0.0	0.0	0.0	0.0	N/A
2626047	unclassified Synechococcus	G1	11	0	0.0	0.0	0.0	0.0	0.0	N/A
477697	Streptomyces sp. T12	S	11	0	0.0	0.0	0.0	0.0	0.0	N/A
2609666	unclassified Halomonas	G1	24	0	0.0	0.0	0.0	0.0	0.0	N/A
90627	Gallionellaceae	F	17	0	0.0	0.0	0.0	0.0	0.0	N/A
137732	Granulicatella elegans	S	22	0	0.0	0.0	0.0	0.0	0.0	N/A
1761794	Marinobacter sp. es.042	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
1450520	Corynebacterium diphtheriae bv. mitis str. ISS 3319	S2	13	0	0.0	0.0	0.0	0.0	0.0	N/A
2642459	unclassified Geobacillus	G1	10	0	0.0	0.0	0.0	0.0	0.0	N/A
1516059	Microbulbifer sp. ALW1	S	8	0	0.0	0.0	0.0	0.0	0.0	N/A
543	Enterobacteriaceae	F	21	0	0.0	0.0	0.0	0.0	0.0	N/A
195105	Haematobacter massiliensis	S	40	0	0.0	0.0	0.0	0.0	0.0	N/A
549	Pantoea agglomerans	S	19	0	0.0	0.0	0.0	0.0	0.0	N/A
551	Erwinia	G	16	0	0.0	0.0	0.0	0.0	0.0	N/A
1671721	Marinobacter sp. CP1	S	47	0	0.0	0.0	0.0	0.0	0.0	N/A
562	Escherichia coli	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
391735	Verminephrobacter eiseniae EF01-2	S1	12	0	0.0	0.0	0.0	0.0	0.0	N/A
570	Klebsiella	G	1	0	0.0	0.0	0.0	0.0	0.0	N/A
573	Klebsiella pneumoniae	S	11	0	0.0	0.0	0.0	0.0	0.0	N/A
2478662	Acidovorax sp. 1608163	S	13	0	0.0	0.0	0.0	0.0	0.0	N/A
584	Proteus mirabilis	S	15	0	0.0	0.0	0.0	0.0	0.0	N/A
586	Providencia	G	18	0	0.0	0.0	0.0	0.0	0.0	N/A
1038928	Streptomyces xinghaiensis	S	21	0	0.0	0.0	0.0	0.0	0.0	N/A
2769491	Massilia litorea	S	14	0	0.0	0.0	0.0	0.0	0.0	N/A
121428	Sphingobium xenophagum	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
613	Serratia	G	1	0	0.0	0.0	0.0	0.0	0.0	N/A
1690221	Streptomyces spongiicola	S	5	0	0.0	0.0	0.0	0.0	0.0	N/A
88688	Caulobacter segnis	S	3	0	0.0	0.0	0.0	0.0	0.0	N/A
12916	Acidovorax	G	5	0	0.0	0.0	0.0	0.0	0.0	N/A
642	Aeromonas	G	2	0	0.0	0.0	0.0	0.0	0.0	N/A
86661	Bacillus cereus group	G1	27	0	0.0	0.0	0.0	0.0	0.0	N/A
1176198	Streptomyces harbinensis	S	22	0	0.0	0.0	0.0	0.0	0.0	N/A
648	Aeromonas caviae	S	3	0	0.0	0.0	0.0	0.0	0.0	N/A
2701	Gardnerella	G	30	0	0.0	0.0	0.0	0.0	0.0	N/A
2702	Gardnerella vaginalis	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
2892442	Pseudomonas sp. CIP-10	S	11	0	0.0	0.0	0.0	0.0	0.0	N/A
43675	Rothia mucilaginosa	S	20	0	0.0	0.0	0.0	0.0	0.0	N/A
3023517	Brachybacterium sp. GPGPB12	S	22	0	0.0	0.0	0.0	0.0	0.0	N/A
1714845	Alteromonas sp. BL110	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
670	Vibrio parahaemolyticus	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
1727145	Anaerocolumna chitinilytica	S	2	0	0.0	0.0	0.0	0.0	0.0	N/A
1940138	Candidatus Walczuchella	G	1	0	0.0	0.0	0.0	0.0	0.0	N/A
1077935	Paracoccus zhejiangensis	S	14	0	0.0	0.0	0.0	0.0	0.0	N/A
225971	Qipengyuania citrea	S	9	0	0.0	0.0	0.0	0.0	0.0	N/A
2742	Marinobacter	G	21	0	0.0	0.0	0.0	0.0	0.0	N/A
2745	Halomonas	G	19	0	0.0	0.0	0.0	0.0	0.0	N/A
2822846	Pseudoalteromonas sp. SCSIO 43088	S	9	0	0.0	0.0	0.0	0.0	0.0	N/A
1166018	Fibrella aestuarina BUZ 2	S1	1	0	0.0	0.0	0.0	0.0	0.0	N/A
29379	Staphylococcus auricularis	S	12	0	0.0	0.0	0.0	0.0	0.0	N/A
29382	Staphylococcus cohnii	S	11	0	0.0	0.0	0.0	0.0	0.0	N/A
225991	Comamonas aquatica	S	4	0	0.0	0.0	0.0	0.0	0.0	N/A
29385	Staphylococcus saprophyticus	S	14	0	0.0	0.0	0.0	0.0	0.0	N/A
29388	Staphylococcus capitis	S	56	0	0.0	0.0	0.0	0.0	0.0	N/A
29391	Gemella morbillorum	S	2	0	0.0	0.0	0.0	0.0	0.0	N/A
862965	Haemophilus parainfluenzae T3T1	S1	9	0	0.0	0.0	0.0	0.0	0.0	N/A
29442	Pseudomonas tolaasii	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
105219	Ralstonia mannitolilytica	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
47877	Pseudomonas amygdali	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
2923272	Streptomyces tubbatahanensis	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
39692	Mycolicibacterium parafortuitum	S	2	0	0.0	0.0	0.0	0.0	0.0	N/A
47885	Pseudomonas oryzihabitans	S	6	0	0.0	0.0	0.0	0.0	0.0	N/A
391953	Aquincola tertiaricarbonis	S	2	0	0.0	0.0	0.0	0.0	0.0	N/A
92945	Ketogulonicigenium vulgare	S	10	0	0.0	0.0	0.0	0.0	0.0	N/A
2820884	Spiractinospora alimapuensis	S	7	0	0.0	0.0	0.0	0.0	0.0	N/A
2487072	Epilithonimonas vandammei	S	6	0	0.0	0.0	0.0	0.0	0.0	N/A
670516	Mycobacteroides	G	9	0	0.0	0.0	0.0	0.0	0.0	N/A
144184	Corynebacterium afermentans subsp. lipophilum	S1	11	0	0.0	0.0	0.0	0.0	0.0	N/A
1585976	Bergeyella cardium	S	27	0	0.0	0.0	0.0	0.0	0.0	N/A
2597701	Comamonas flocculans	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
848	Fusobacterium	G	5	0	0.0	0.0	0.0	0.0	0.0	N/A
1545044	Paracoccus sanguinis	S	116	0	0.0	0.0	0.0	0.0	0.0	N/A
244566	Pseudomonas lurida	S	14	0	0.0	0.0	0.0	0.0	0.0	N/A
2929495	Faecalibacterium sp. I4-3-84	S	15	0	0.0	0.0	0.0	0.0	0.0	N/A
13160	Brevundimonas bullata	S	18	0	0.0	0.0	0.0	0.0	0.0	N/A
